fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
2085,person,0.54,person_273,918,286,963,397,no,0,0,0,0,0,
2086,car,0.73,car_268,1017,283,1164,414,no,0,0,0,0,0,
2086,car,0.58,car_274,1436,317,1512,378,no,0,0,0,0,0,
2086,person,0.41,person_273,924,283,966,396,no,0,0,0,0,0,
2087,car,0.74,car_268,1014,284,1164,416,no,0,0,0,0,0,
2087,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2087,person,0.50,person_273,928,280,967,397,no,0,0,0,0,0,
2088,car,0.68,car_268,1010,284,1164,416,no,0,0,0,0,0,
2088,car,0.58,car_274,1436,316,1512,378,no,0,0,0,0,0,
2088,person,0.51,person_273,933,278,973,395,no,0,0,0,0,0,
2089,car,0.68,car_268,1008,288,1167,418,no,0,0,0,0,0,
2089,car,0.61,car_274,1436,316,1511,378,no,0,0,0,0,0,
2089,person,0.42,person_273,939,280,977,394,no,0,0,0,0,0,
2090,car,0.65,car_268,1005,289,1167,418,no,0,0,0,0,0,
2090,car,0.60,car_274,1436,316,1511,379,no,0,0,0,0,0,
2090,person,0.41,person_273,940,280,983,392,no,0,0,0,0,0,
2091,car,0.70,car_268,999,285,1163,420,no,0,0,0,0,0,
2091,car,0.60,car_274,1436,316,1511,378,no,0,0,0,0,0,
2092,car,0.66,car_268,994,284,1160,424,no,0,0,0,0,0,
2092,car,0.60,car_274,1436,316,1511,378,no,0,0,0,0,0,
2093,car,0.68,car_268,989,284,1155,426,no,0,0,0,0,0,
2093,car,0.60,car_274,1436,316,1511,378,no,0,0,0,0,0,
2094,car,0.72,car_268,981,284,1152,429,no,0,0,0,0,0,
2094,car,0.61,car_274,1436,316,1511,378,no,0,0,0,0,0,
2095,car,0.73,car_268,973,285,1152,427,no,0,0,0,0,0,
2095,car,0.60,car_274,1436,316,1511,378,no,0,0,0,0,0,
