fotograma,tipo_oggetto,confianza,identificador_tracking,x1,y1,x2,y2,matrícula_en_su_caso,confianza_matricula,mx1,my1,mx2,my2,texto_matricula
291,car,0.67,car_14,382,200,439,265,no,0,0,0,0,0,
291,car,0.85,car_24,240,220,377,311,si,0.50,268,260,300,274,638DVC
292,car,0.85,car_1,424,206,654,422,si,0.36,503,314,610,340,669LGYV
292,car,0.68,car_14,382,200,439,264,no,0,0,0,0,0,
292,car,0.84,car_24,243,220,378,310,si,0.50,271,258,302,273,638DVC
293,car,0.85,car_1,424,206,653,422,si,0.33,503,313,609,340,669LGYV
293,car,0.66,car_14,382,201,440,263,no,0,0,0,0,0,
293,car,0.84,car_24,245,220,379,308,si,0.50,274,258,305,273,638DVC
293,person,0.44,person_34,654,198,685,285,no,0,0,0,0,0,
294,car,0.84,car_1,423,206,654,422,si,0.38,503,313,614,340,6694GYV
294,car,0.66,car_14,382,201,441,263,no,0,0,0,0,0,
294,car,0.79,car_24,248,221,380,306,si,0.50,277,258,308,272,638DVC
294,person,0.46,person_34,654,199,685,284,no,0,0,0,0,0,
295,car,0.84,car_1,424,208,654,423,si,0.43,502,314,612,340,6694GYV
295,car,0.65,car_14,384,200,442,262,no,0,0,0,0,0,
295,car,0.78,car_24,252,223,362,306,si,0.50,280,257,311,272,638DVC
295,person,0.46,person_34,655,196,684,288,no,0,0,0,0,0,
296,car,0.85,car_1,425,209,654,423,si,0.47,502,314,609,340,6694GYV
296,car,0.65,car_14,384,199,443,262,no,0,0,0,0,0,
296,car,0.78,car_24,255,223,356,305,si,0.50,283,257,313,271,638DVC
296,person,0.47,person_34,654,198,685,286,no,0,0,0,0,0,
297,car,0.85,car_1,427,209,653,423,si,0.50,502,314,609,341,6694GYV
297,car,0.65,car_14,385,199,444,262,no,0,0,0,0,0,
297,car,0.76,car_24,259,224,369,305,si,0.50,286,258,314,271,638DVC
297,person,0.57,person_34,654,195,684,286,no,0,0,0,0,0,
298,car,0.86,car_1,427,210,654,424,si,0.53,502,314,620,342,6694GYV
298,car,0.52,car_14,385,198,444,261,no,0,0,0,0,0,
298,car,0.77,car_24,262,222,380,303,si,0.50,289,257,316,270,638DVC
298,person,0.53,person_34,654,195,684,289,no,0,0,0,0,0,
299,car,0.85,car_1,427,210,654,424,si,0.50,501,314,625,343,6694GYV
299,car,0.47,car_14,388,198,443,259,no,0,0,0,0,0,
299,car,0.76,car_24,265,223,385,300,si,0.50,292,256,319,270,638DVC
299,person,0.48,person_34,654,195,684,292,no,0,0,0,0,0,
300,car,0.86,car_1,427,209,655,423,si,0.47,501,314,621,342,6694GYV
300,car,0.70,car_14,387,199,443,259,no,0,0,0,0,0,
300,car,0.78,car_24,267,222,387,297,si,0.50,295,257,323,269,638DVC
300,person,0.42,person_34,653,197,684,286,no,0,0,0,0,0,
301,car,0.82,car_1,427,208,653,422,si,0.50,502,315,585,340,16694GYV
301,car,0.61,car_14,389,199,441,258,no,0,0,0,0,0,
301,car,0.79,car_24,271,223,372,296,no,0,0,0,0,0,
301,person,0.45,person_34,653,197,682,291,no,0,0,0,0,0,
302,car,0.84,car_1,426,208,652,422,si,0.40,502,315,585,340,16694GYV
302,car,0.65,car_14,389,199,441,257,no,0,0,0,0,0,
302,car,0.78,car_24,272,224,365,296,no,0,0,0,0,0,
303,car,0.85,car_1,424,208,652,422,si,0.33,502,315,585,340,16694GYV
303,car,0.79,car_24,276,224,363,294,no,0,0,0,0,0,
303,person,0.44,person_34,652,200,682,285,no,0,0,0,0,0,
304,car,0.85,car_1,423,208,652,422,si,0.43,502,315,584,340,6694GYV
304,car,0.81,car_24,278,224,364,293,no,0,0,0,0,0,
304,person,0.44,person_34,651,200,682,284,no,0,0,0,0,0,
305,car,0.84,car_1,423,207,652,422,si,0.50,502,314,585,340,6694GYV
305,car,0.81,car_24,280,225,374,293,no,0,0,0,0,0,
305,person,0.45,person_34,651,200,682,283,no,0,0,0,0,0,
306,car,0.83,car_1,423,206,652,423,si,0.56,501,314,585,340,6694GYV
306,car,0.79,car_24,282,224,382,293,no,0,0,0,0,0,
306,person,0.53,person_34,651,199,681,284,no,0,0,0,0,0,
307,car,0.83,car_1,424,205,653,423,si,0.60,501,314,586,340,6694GYV
307,car,0.78,car_24,286,223,380,293,no,0,0,0,0,0,
307,person,0.54,person_34,650,198,679,284,no,0,0,0,0,0,
308,car,0.85,car_1,424,205,653,423,si,0.64,501,314,586,340,6694GYV
308,car,0.78,car_24,288,223,381,292,no,0,0,0,0,0,
